"time","timeDate","close","high","low","open","volumefrom","volumeto"
1539763200000,"2018-10-17",6557.75,6558.49,6539,6546.55,1642.89,10772127.6
1539766800000,"2018-10-17",6541.3,6557.87,6522.25,6557.87,2479.12,16309700.55
1539770400000,"2018-10-17",6529.01,6543.03,6518.2,6541.3,2000.15,13106719.08
1539774000000,"2018-10-17",6544.32,6544.32,6511.6,6529.08,2272.41,14907680.44
1539777600000,"2018-10-17",6538.85,6547.14,6524.04,6544.62,1173,7693432.55
1539781200000,"2018-10-17",6531.83,6539.86,6520.14,6538.85,2213.67,14393549.24
1539784800000,"2018-10-17",6546.55,6557.8,6523.15,6533.03,1697.22,11225469.4
1539788400000,"2018-10-17",6551.58,6551.97,6539.11,6546.75,1142.99,7520643.88
1539792000000,"2018-10-17",6556.75,6556.76,6545.13,6551.58,929.85,6123493.88
1539795600000,"2018-10-18",6551.41,6557.37,6546.94,6556.75,854.6,5631846.79
1539799200000,"2018-10-18",6548.49,6552.51,6542.73,6552.03,1116.08,7377814.82
1539802800000,"2018-10-18",6537.41,6554.46,6537.19,6548.51,1663.21,11030153.63
1539806400000,"2018-10-18",6559.63,6561.18,6536.5,6537.41,1845.53,12071280.3
1539810000000,"2018-10-18",6566.6,6568.06,6555.33,6560.84,906.62,5973557.1
1539813600000,"2018-10-18",6567.38,6578.1,6566.64,6568.04,856.93,5645012.58
1539817200000,"2018-10-18",6574.52,6575.4,6561.7,6569.55,605.26,3976146.44
1539820800000,"2018-10-18",6571.04,6576.4,6560.31,6576.4,1114.11,7358036.61
1539824400000,"2018-10-18",6573.12,6585.42,6564.82,6571.36,960.01,6351683.81
1539828000000,"2018-10-18",6573.91,6578.57,6571.36,6574.49,1070.63,7066869.06
1539831600000,"2018-10-18",6592.68,6616.27,6572.02,6573.91,2561.4,16919143.37
1539835200000,"2018-10-18",6584.19,6593.95,6581.34,6592.68,1588.29,10478821.46
1539838800000,"2018-10-18",6576.48,6585.95,6568.41,6584.19,2058.36,13547841.22
1539842400000,"2018-10-18",6575.29,6579.81,6568.33,6576.48,2181.54,14346825.23
1539846000000,"2018-10-18",6565.49,6577.75,6564.79,6575.9,2769.6,18152750.64
1539849600000,"2018-10-18",6560.13,6566.66,6542.31,6565.49,3094.52,20159994.69
1539853200000,"2018-10-18",6562.37,6566.63,6554.18,6560.13,1795.44,11733834.75
1539856800000,"2018-10-18",6561.94,6566.01,6556.59,6564.51,1119.51,7354372.07
1539860400000,"2018-10-18",6546.74,6563.11,6541.93,6561.94,1625.46,10625326.15
1539864000000,"2018-10-18",6553.13,6560.14,6541.11,6546.74,2369.27,15522439.59
1539867600000,"2018-10-18",6552.13,6555.47,6545.52,6553.13,1508.43,9817886.27
1539871200000,"2018-10-18",6546.59,6554.26,6546.18,6552.13,1587.41,10383338.65
1539874800000,"2018-10-18",6549.04,6549.2,6530.02,6546.59,2371.82,15584917.82
1539878400000,"2018-10-18",6547.75,6550.07,6542.3,6549.04,1783.27,11723698
1539882000000,"2018-10-19",6499.07,6552.18,6468.72,6547.75,5519.48,35912682.59
1539885600000,"2018-10-19",6491.44,6511.51,6479.7,6499.39,2416.99,15708886.89
1539889200000,"2018-10-19",6493.97,6495.29,6471.98,6491.32,2204.86,14301709.64
1539892800000,"2018-10-19",6483.95,6494.7,6481.07,6494.63,2077.1,13499042.06
1539896400000,"2018-10-19",6462.5,6484.47,6460.64,6483.95,2574.35,16792007.46
1539900000000,"2018-10-19",6469.12,6477.91,6445.05,6462.5,2558.85,16572624.59
1539903600000,"2018-10-19",6488.72,6497.04,6469.49,6469.65,1814.64,11846382.86
1539907200000,"2018-10-19",6497.65,6503.09,6479.01,6489.37,1486.83,9691526.6
1539910800000,"2018-10-19",6475.15,6497.65,6471.97,6497.65,1627.29,10586361.8
1539914400000,"2018-10-19",6490.42,6494.55,6472.69,6475.34,1309.22,8516279.52
