"time","timeDate","close","high","low","open","volumefrom","volumeto"
1539763200000,"2018-10-17",209.42,209.72,208.47,208.7,11491.3,2414035.62
1539766800000,"2018-10-17",208.58,209.63,208.3,209.42,11194.23,2356562.21
1539770400000,"2018-10-17",207.7,208.6,207.61,208.58,15984.45,3327009.09
1539774000000,"2018-10-17",207.65,207.73,205.49,207.7,46151.74,9553845.76
1539777600000,"2018-10-17",207.63,207.86,207.27,207.66,8797.03,1837756.3
1539781200000,"2018-10-17",207.24,207.78,206.76,207.63,14410.25,2956112.87
1539784800000,"2018-10-17",208.78,209.74,207.12,207.24,21888.84,4565541.9
1539788400000,"2018-10-17",208.6,208.81,208.31,208.78,6848.48,1433893.07
1539792000000,"2018-10-17",208.55,208.61,208.22,208.6,7766.44,1604450.55
1539795600000,"2018-10-18",208.1,208.61,207.99,208.55,8734.11,1802370.83
1539799200000,"2018-10-18",208.14,208.17,207.65,208.11,5693.99,1184373.14
1539802800000,"2018-10-18",207.42,208.43,207.41,208.14,9971.97,2066559.53
1539806400000,"2018-10-18",207.02,207.49,206.67,207.42,16466.88,3369701.49
1539810000000,"2018-10-18",207.46,207.53,206.84,207.02,7496.34,1551324.29
1539813600000,"2018-10-18",207.79,208.53,207.39,207.49,9134.9,1883637.62
1539817200000,"2018-10-18",207.6,208.28,207.52,207.79,3570.29,739235.29
1539820800000,"2018-10-18",207.75,207.83,207.08,207.6,10733.98,2221307.26
1539824400000,"2018-10-18",207.71,207.82,207.34,207.75,6329.21,1311712.87
1539828000000,"2018-10-18",208.04,208.21,207.5,207.71,6579.97,1369432.72
1539831600000,"2018-10-18",208.71,209.46,207.82,208.04,22131.49,4614907.12
1539835200000,"2018-10-18",208.71,208.82,208.25,208.78,10232.33,2122762.02
1539838800000,"2018-10-18",207.94,208.76,207.31,208.71,17828.02,3696390.99
1539842400000,"2018-10-18",207.7,208.12,207.45,207.99,11535.69,2383721.01
1539846000000,"2018-10-18",207.66,208.21,207.44,207.73,8963.43,1850259.34
1539849600000,"2018-10-18",206.64,207.66,205.97,207.66,24613.03,5091271.03
1539853200000,"2018-10-18",206.9,207.34,206.5,206.64,15074.57,3143272.94
1539856800000,"2018-10-18",207.19,207.53,206.71,206.9,12888.19,2664457.89
1539860400000,"2018-10-18",205.42,207.35,204.87,207.19,31589.35,6443615.84
1539864000000,"2018-10-18",205.62,205.77,205.12,205.42,12098.86,2478909.16
1539867600000,"2018-10-18",205.65,206,205.27,205.62,9122.48,1883399.53
1539871200000,"2018-10-18",205.13,205.83,205.1,205.65,12314.55,2547269.17
1539874800000,"2018-10-18",204.92,205.14,202.73,205.1,56211.38,11620279.93
1539878400000,"2018-10-18",203.85,205.16,201.59,204.92,44224.5,9043422.89
1539882000000,"2018-10-19",201.77,204.02,200.64,203.85,32692.66,6689953.23
1539885600000,"2018-10-19",201.95,202.62,201.09,201.77,24119.34,4945778.2
1539889200000,"2018-10-19",202.35,202.35,201.15,201.95,17296.03,3548886.39
1539892800000,"2018-10-19",202.03,203.31,201.79,202.35,22336.37,4583701.11
1539896400000,"2018-10-19",200.89,202.05,200.49,202.03,25182.7,5130706.17
1539900000000,"2018-10-19",201.62,202.36,200.39,200.89,20884.43,4257936.66
1539903600000,"2018-10-19",202.49,203,201.58,201.62,16083.85,3304385.66
1539907200000,"2018-10-19",203.39,203.57,202.48,202.49,14567.69,3005316.16
1539910800000,"2018-10-19",202.14,203.65,201.98,203.39,11123.6,2293988.52
1539914400000,"2018-10-19",203.14,203.3,202.03,202.14,9077.66,1878937.73
1539918000000,"2018-10-19",202.74,203.14,202.52,203.14,12203.87,2508183.62
1539921600000,"2018-10-19",203.09,203.29,202.7,202.74,9179.72,1893066.47
1539925200000,"2018-10-19",201.17,203.1,201.07,203.09,26574.62,5392612.2
1539928800000,"2018-10-19",201.76,202.08,201.05,201.15,8151.74,1655703.64
1539932400000,"2018-10-19",201.16,201.82,200.98,201.76,30306.9,6043510.24
1539936000000,"2018-10-19",202.63,202.92,201.08,201.16,24910.73,5045377.77
1539939600000,"2018-10-19",203.09,203.78,202.52,202.63,18857.98,3832935.57
1539943200000,"2018-10-19",203.79,204.79,203.1,203.13,22836.38,4659686.41
1539946800000,"2018-10-19",203.04,204.03,202.81,203.79,14856.41,3004092.9
1539950400000,"2018-10-19",202.96,203.08,201.92,203.08,9221.2,1873355.34
1539954000000,"2018-10-19",203.53,203.53,202.93,202.96,6595,1341178.15
1539957600000,"2018-10-19",203.05,203.76,202.88,203.53,7435.88,1507307.09
1539961200000,"2018-10-19",203.06,203.18,202.7,203.05,10421.07,2104217.18
1539964800000,"2018-10-19",203.47,204.18,203.06,203.06,15164.17,3093052.1
1539968400000,"2018-10-20",203.41,203.95,203.17,203.54,8072.29,1643830.69
1539972000000,"2018-10-20",203.15,203.55,202.89,203.41,9357.18,1909282.19
1539975600000,"2018-10-20",202.89,203.44,202.39,203.15,17357.55,3512060.21
1539979200000,"2018-10-20",202.32,202.91,202.03,202.89,16629.56,3372075.96
1539982800000,"2018-10-20",202.8,203.1,202.24,202.32,9334.84,1883618.25
1539986400000,"2018-10-20",202.95,202.95,202.52,202.8,4820.99,973135.45
1539990000000,"2018-10-20",202.86,203.35,202.74,202.95,5809.82,1177930.14
1539993600000,"2018-10-20",202.4,202.9,201.94,202.86,8467.82,1714956.56
1539997200000,"2018-10-20",203.86,203.94,201.76,202.4,12515.4,2524989.4
1540000800000,"2018-10-20",203.58,204.27,203.49,203.86,8495.26,1727552.71
1540004400000,"2018-10-20",203.53,204,203.43,203.58,2665.13,541073.85
1540008000000,"2018-10-20",203.57,203.8,203.24,203.54,3203.53,652591.13
1540011600000,"2018-10-20",203.79,203.85,203.41,203.57,6682.01,1365576.81
1540015200000,"2018-10-20",206.42,207.03,203.73,203.79,48673.21,10049970.58
